huc_code,kmean_cluster,kmeans_split,random_cluster,random_split
190603020902,8,test,8,test
190603020903,3,train,5,test
190603020904,8,test,3,test
190603020905,3,test,7,test
190603020906,3,test,1,train
190603020907,8,test,4,test
190603020908,3,test,0,test
190603021002,0,test,6,test
190603021003,6,test,1,test
190603021004,6,test,0,test
190603021005,0,test,0,test
190603021006,4,test,4,test
190603021101,6,test,0,test
190603021102,6,test,1,test
190603021103,0,test,8,train
190603021104,0,test,0,test
190603021105,4,test,7,test
190603021106,0,test,3,test
190603021107,9,test,6,test
190603021201,4,test,5,test
190603021202,4,test,8,test
190603021203,0,test,7,test
190603021204,0,test,6,test
190603021205,0,test,2,test
190603021206,9,test,2,test
190603021207,6,test,2,train
190603021208,0,test,8,test
190603021209,6,test,2,train
190603021210,0,test,6,test
190603021211,0,test,5,test
190603021212,0,test,3,test
190603021213,9,test,3,test
190603021301,0,test,8,test
190603021302,0,test,7,test
190603021303,9,test,5,test
190603021304,6,test,6,test
190603021305,6,test,3,test
190603021306,9,test,5,test
190603021307,4,test,8,test
190603021308,0,test,6,test
190603021309,9,test,4,train
190603021401,2,test,3,test
190603021402,4,train,0,test
190603021403,5,test,6,test
190603021404,5,test,7,test
190603021405,7,test,6,train
190603021406,1,test,6,test
190603021501,6,test,3,test
190603021502,0,test,1,test
190603021503,9,test,2,test
190603021504,2,train,0,test
190603021505,2,test,8,test
190603021506,4,test,1,test
190603021507,4,test,7,test
190603021508,7,test,7,test
190603021601,0,test,4,train
190603021602,0,test,3,test
190603021603,6,test,5,train
190603021604,0,test,2,test
190603021605,0,test,1,test
190603021606,0,test,2,train
190603021607,4,test,0,test
190603021701,0,test,7,test
190603021703,7,test,3,test
190603021704,7,train,4,test
190603021705,1,test,2,test
190603021801,8,test,1,test
190603021802,1,test,0,test
190603021803,8,test,8,test
190603021804,8,test,2,test
190603021805,8,test,7,test
190603021806,8,train,4,train
190603021807,3,test,2,test
190603021901,8,test,6,test
190603021902,3,test,1,test
190603021903,8,train,6,test
190603021904,8,test,1,test
190603021905,3,test,9,test
190603021906,8,test,1,test
190603021907,3,test,7,test
190603021908,3,test,0,test
190603022001,3,test,6,test
190603022002,3,test,5,test
190603022003,3,test,3,train
190603022004,3,test,4,test
190603022005,3,test,1,test
190603022006,3,test,4,test
190603022007,3,test,1,test
190603022101,3,test,5,test
190603022102,3,test,6,test
190603022103,3,test,8,train
190603022201,3,test,2,test
190603022202,3,test,6,test
190603022203,3,train,3,test
190603022204,3,train,4,test
190603022205,3,test,2,test
190603022206,3,test,0,test
190603022207,3,test,2,test
190603022208,3,test,0,test
190603022209,3,train,1,test
190803020101,6,test,1,test
190803020102,6,test,3,test
190803020103,0,test,4,test
190803020104,6,test,6,train
190803020105,0,test,0,test
190803020106,6,test,4,test
190803020107,0,test,7,train
190803020108,9,test,0,test
190803020201,4,test,0,test
190803020202,5,test,5,test
190803020203,7,test,8,test
190803020204,7,test,4,test
190803020301,5,test,5,test
190803020302,7,train,4,test
190803020303,7,test,6,test
190803020304,4,test,2,test
190803020305,2,train,0,train
190803020306,4,test,1,test
190803020307,9,test,4,test
190803020308,2,test,5,test
190803020309,2,test,5,test
190803020310,7,test,8,test
190803020311,5,train,0,train
190803020401,2,test,1,train
190803020403,2,test,6,test
190803020404,7,test,5,train
190803020501,6,test,2,test
190803020502,4,test,7,train
190803020503,0,test,2,test
190803020504,4,test,0,test
190803020505,0,train,1,test
190803020506,0,test,6,test
190803020507,4,test,5,train
190803020508,0,test,5,test
190803020509,4,test,2,test
190803020601,6,test,3,test
190803020602,6,train,4,test
190803020603,6,test,3,test
190803020604,6,test,0,test
190803020605,6,test,0,test
190803020606,0,test,0,test
190803020607,0,test,2,test
190803020701,4,test,2,test
190803020702,4,test,6,test
190803020703,0,test,9,test
190803020704,5,test,7,test
190803020705,5,test,4,test
190803020801,2,test,3,test
190803020802,2,test,2,test
190803020803,5,test,8,test
190803020804,5,test,4,test
190803020805,5,test,6,test
190803020806,5,test,2,test
190803020807,5,test,7,test
190803020808,7,test,1,test
190803020901,5,test,9,test
190803020902,9,test,1,test
190803020903,7,test,0,test
190803020904,0,test,7,test
190803020905,2,test,0,test
190803020906,0,test,0,test
190803020907,2,test,6,test
190901010101,0,test,1,test
190901010102,0,train,5,test
190901010103,6,test,7,test
190901010104,0,test,5,test
190901010105,0,test,1,test
190901010106,4,test,2,test
190901010107,9,test,2,test
190901010108,0,test,4,test
190901010109,4,test,0,test
190901010110,9,test,5,test
190901010201,0,test,3,test
190901010202,0,test,8,test
190901010304,2,test,5,test
190901010305,4,test,0,test
190901010306,2,test,7,train
190901010401,6,test,0,test
190901010402,0,train,0,test
190901010403,4,train,7,test
190901010404,9,test,5,test
190901010405,9,test,0,test
190901010406,9,test,1,train
190901010407,2,test,5,train
190901010501,9,test,0,test
190901010502,9,test,1,test
190901010503,5,test,0,test
190901010504,4,test,1,test
190901010505,9,test,0,test
190901010506,5,test,1,test
190901010601,9,train,2,test
190901010602,4,test,0,test
190901010603,9,train,5,test
190901010604,5,test,6,train
190901010605,7,test,3,test
190901010606,2,test,2,train
190901010607,7,test,6,test
190901010608,1,train,6,test
190901010609,8,test,7,test
190901010701,6,test,7,test
190901010801,6,test,1,train
190901010802,6,test,8,test
190901010803,0,test,5,test
190901010804,0,test,3,test
190901010807,0,test,4,test
190901010808,4,test,4,train
190901010901,0,test,1,test
190901010902,4,test,8,test
190901010903,4,test,8,test
190901011001,0,test,1,test
190901011002,0,test,3,train
190901011003,0,test,2,test
190901011004,9,test,3,test
190901011005,4,test,5,test
190901011006,4,train,7,test
190901011007,2,test,0,test
190901011008,2,test,1,test
190901011101,5,test,2,test
190901011102,2,train,2,train
190901011103,9,train,0,train
190901011104,7,test,5,test
190901011201,4,train,2,test
190901011202,4,test,2,test
190901011203,2,test,4,test
190901011204,9,test,3,test
190901011205,9,test,9,test
190901011206,2,test,6,test
190901011207,2,test,3,test
190901011208,9,test,4,test
190901011209,4,test,8,test
190901011210,5,test,4,test
190901011301,9,test,5,test
190901011303,1,test,4,test
190901011304,2,test,5,test
190901011305,7,test,3,test
190901011306,8,test,3,test
190901011307,7,test,1,test
190901011308,8,test,4,test
190901011401,2,test,1,test
190901011402,9,test,1,test
190901011403,2,train,4,test
190901011404,2,test,3,train
190901011405,9,test,0,test
190901011406,5,test,2,test
190901011501,9,test,0,train
190901011502,2,test,9,test
190901011503,7,test,7,train
190901011504,7,test,1,test
190901011505,8,test,1,test
190901011506,8,test,8,test
190901011604,0,train,4,test
190901011605,0,test,0,test
190901011701,4,test,6,test
190901011901,0,test,6,train
190901011902,9,test,3,test
190901011903,0,test,4,test
190901011904,4,test,6,test
190901011905,2,test,3,test
190901011906,9,test,3,test
190901011907,5,test,6,test
190901012001,9,test,3,test
190901012002,2,train,1,test
190901012003,2,test,2,test
190901012004,4,test,6,test
190901012005,4,test,8,test
190901012006,2,test,2,test
190901012101,9,test,3,test
190901012102,2,test,2,test
190901012103,9,test,0,test
190901012104,2,test,3,test
190901012105,9,test,8,test
190901012106,9,train,9,test
190901012107,9,test,0,test
190901012108,7,test,3,test
190901012202,9,test,0,test
190901012203,2,test,1,test
190901012204,2,test,8,test
190901012301,9,test,2,test
190901012302,9,test,8,test
190901012303,2,test,3,train
190901012304,9,test,1,test
190901012305,2,test,5,test
190901012401,9,test,9,test
190901012402,5,test,8,test
190901012501,9,test,0,test
190901012502,5,test,9,test
190901012503,2,test,4,test
190901012504,1,test,0,test
190901012505,8,test,2,test
190901012506,2,test,1,test
190901012507,7,test,5,test
190901012508,1,test,7,test
190901012509,8,test,0,test
190901012510,8,test,4,train
190901012511,3,test,1,test
190901012601,1,test,5,test
190901012602,8,train,5,test
190901012603,8,test,2,test
190901012604,3,test,0,test
190901030101,0,test,9,test
190901030102,4,train,0,test
190901030103,4,test,1,test
190901030201,0,test,8,test
190901030202,0,train,8,test
190901030203,4,test,7,test
190901030204,4,test,0,test
190901030205,4,test,1,test
190901030206,4,test,6,test
190901030207,4,test,5,test
190901030208,2,test,3,test
190901030301,0,test,0,train
190901030302,4,test,7,test
190901030401,0,test,2,test
190901030402,4,test,4,test
190901030403,4,test,0,test
190901030404,2,test,6,test
190901030501,4,test,1,test
190901030502,0,train,8,test
190901030503,0,test,1,train
190901030504,9,test,0,test
190901030505,2,test,5,test
190901030601,9,test,0,test
190901030602,9,train,0,test
190901030603,9,test,3,test
190901030604,5,test,2,test
190901030701,0,test,2,test
190901030702,4,test,0,test
190901030703,9,test,8,test
190901030801,4,test,3,test
190901030802,5,test,9,train
190901030803,4,test,9,test
190901030804,9,test,4,test
190901030805,2,test,7,test
190901030806,1,train,5,test
190901030901,9,test,9,test
190901030902,9,test,4,test
190901030903,9,test,4,test
190901030904,2,test,6,test
190901030906,2,test,5,test
190901030907,7,test,0,train
190901031001,4,test,1,test
190901031002,4,test,2,test
190901031003,9,test,7,test
190901031005,9,train,2,test
190901031006,5,test,7,test
190901031007,2,train,0,test
190901031008,1,test,0,test
190901031101,5,test,2,test
190901031102,8,test,9,test
190901031201,1,test,3,test
190901031202,1,test,1,test
190901031203,1,test,7,test
190901031204,2,test,4,test
190901031205,8,test,8,test
190901031206,1,test,9,test
190901031207,8,test,2,test
190901031301,7,test,8,test
190901031401,9,test,5,test
190901031402,9,test,4,test
190901031403,2,test,3,test
190901031404,1,test,8,test
190901031405,1,test,3,train
190901031406,7,test,0,test
190901031407,8,test,7,test
190901031408,1,test,3,test
190901031409,8,train,6,test
190901031501,8,test,7,test
190901031502,8,test,3,test
190901031503,8,test,0,test
190901031504,3,test,6,test
190901031505,3,test,3,train
190901031506,3,train,9,test
190901031507,3,test,9,test
190901031601,8,test,9,test
190901031602,8,test,2,test
190901031603,3,test,6,test
190901031604,1,test,4,test
190901031605,3,test,0,test
190901031606,3,test,4,train
190901031701,7,test,4,test
190901031702,8,test,3,test
190901031703,3,test,0,test
190901031704,3,test,2,test
190901031705,3,test,3,test
190901031706,3,test,4,test
190901031707,3,test,9,test
190503021001,99,test,99,test
190503021002,99,test,99,test
190503021003,99,test,99,test
190503021004,99,test,99,test
190503021005,99,test,99,test
190503021006,99,test,99,test
190503021007,99,test,99,test
190503021008,99,test,99,test
190503021009,99,test,99,test
190503021101,99,test,99,test
190503021102,99,test,99,test
190503021103,99,test,99,test
190503021104,99,test,99,test
190503021105,99,test,99,test
190503021106,99,test,99,test
190503021107,99,test,99,test
190503021108,99,test,99,test
190503021109,99,test,99,test
190503021201,99,test,99,test
190503021202,99,test,99,test
190503021203,99,test,99,test
190503021204,99,test,99,test
190503021205,99,test,99,test
190503021206,99,test,99,test
190503021207,99,test,99,test
190503021208,99,test,99,test
190503021209,99,test,99,test
190503021210,99,test,99,test
190503021211,99,test,99,test
190503021212,99,test,99,test
190503021300,99,test,99,test
190503021401,99,test,99,test
190503021402,99,test,99,test
190503021403,99,test,99,test
190503021404,99,test,99,test
190503021405,99,test,99,test
190503021406,99,test,99,test
190503021407,99,test,99,test
190503021408,99,test,99,test
190503021501,99,test,99,test
190503021502,99,test,99,test
190503021503,99,test,99,test
190503021504,99,test,99,test
190503021505,99,test,99,test
190503021506,99,test,99,test
190503021507,99,test,99,test
190503021508,99,test,99,test
190503021509,99,test,99,test
190503021510,99,test,99,test
190503021511,99,test,99,test
